std_competency,domain,unit,baseline_raw_name,midline_raw_name,baseline_value_in_series,midline_value_in_series,baseline_mean,midline_mean,mean_change,midline_pct_zero_band,comparison_status,note
listening_comprehension,literacy,pct,Listening Comprehension,Listening Comprehension,63.3,38.0,63.3,,,9.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
oral_vocabulary,literacy,pct,Oral Vocabulary,Oral Vocabulary,96.7,100.0,96.7,,,0.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
picture_comprehension,literacy,pct,Picture Comprehension,Picture Comprehension,93.1,91.0,93.1,,,0.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
word_reading,literacy,pct,Word Reading Untimed,Word Reading (Untimed),58.4,70.0,58.4,,,5.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
sentence_reading,literacy,pct,Sentence Reading,Sentence Reading,44.8,57.0,44.8,,,22.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
reading_comprehension,literacy,pct,Reading Comprehension,Reading Comprehension,46.6,47.0,46.6,,,27.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
letter_writing,literacy,pct,Letter Writing,Letter Writing,80.1,80.0,80.1,84.0,3.9000000000000057,8.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
word_writing,literacy,pct,Word Writing,Word Writing,36.3,43.0,36.3,58.0,21.700000000000003,16.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
letter_naming_fluency,literacy,cpm,Letter Naming Timed,Letter Naming (Timed),,,33.2,,,2.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
word_reading_fluency,literacy,cpm,Word Reading Timed,Word Reading (Timed),,,17.1,,,6.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
oral_reading_fluency,literacy,cpm,Oral Reading Fluency,Oral Reading Fluency,,38.0,27.1,35.0,7.899999999999999,8.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
measurement,numeracy,pct,Measurement,Measurement,84.2,72.0,84.2,93.0,8.799999999999997,0.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
place_value_bundles,numeracy,pct,Counting In Bundles,Counting in Bundles,58.1,29.0,58.1,,,11.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
number_recognition,numeracy,pct,Number Identification Untimed,Number Identification Untimed,69.8,52.0,69.8,73.0,3.200000000000003,2.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
number_comparison,numeracy,pct,Number Comparison,Number comparison,70.4,58.0,70.4,75.0,4.599999999999994,4.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
number_pattern,numeracy,pct,Number Pattern,Number Pattern,29.0,10.0,29.0,30.0,1.0,30.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
addition_2digit,numeracy,pct,Addition Level 2,Addition 2,59.7,31.0,59.7,53.0,-6.700000000000003,11.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
subtraction_2digit,numeracy,pct,Subtraction Level 2,Subtraction 2,50.9,25.0,50.9,46.0,-4.899999999999999,19.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
shape_pattern,numeracy,pct,Shape Pattern,,36.8,,36.8,,,,baseline_only,
word_problem_addition,numeracy,pct,Word Problem - Addition,Word Problems,62.6,33.0,62.6,61.0,-1.6000000000000014,12.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
word_problem_subtraction,numeracy,pct,Word Problem - Subtraction,Word Problems - Subtraction,33.4,23.0,33.4,,,20.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
multiplication,numeracy,pct,Multiplication,Multiplication,82.3,39.0,82.3,,,11.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
data_handling,numeracy,pct,Data Handling,Data Handling,67.3,30.0,67.3,,,1.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
shapes_1,numeracy,pct,Shapes 1,,85.0,,85.0,,,,baseline_only,
shapes_2,numeracy,pct,Shapes 2,,11.0,,11.0,,,,baseline_only,
money,numeracy,pct,Money,,63.1,,63.1,,,,baseline_only,
number_writing,numeracy,pct,Number Writing,Number Writing,65.8,48.0,65.8,,,13.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
sentence_writing,literacy,pct,,Sentence Writing,,39.0,,49.0,,42.0,midline_only,
independent_writing,literacy,pct,,Independent Writing,,28.0,,34.0,,60.0,midline_only,
shapes_midline_unspecified,numeracy,pct,,Shapes,,4.0,,16.0,,63.0,midline_only,
_domain_matched_set_literacy,literacy,pct,,,,61.5,58.199999999999996,71.0,12.800000000000004,,summary,Means over competencies with a stated mean in both rounds: letter_writing|word_writing
_domain_matched_set_numeracy,numeracy,pct,,,,40.142857142857146,60.94285714285714,61.57142857142857,0.6285714285714263,,summary,Means over competencies with a stated mean in both rounds: measurement|number_recognition|number_comparison|number_pattern|addition_2digit|subtraction_2digit|word_problem_addition
