raw_key,source_tool,raw_name,raw_scale,std_competency,competency_family,domain,unit,stacking_status,confidence,confirmation_status,reasoning
J_OLD,july_tool,"OLD (/2) raw; ""OLD (/2)"" Yes/No",raw/2,oral_language_dev,oral_language,literacy,pct,stack_with_caveat,medium,provisional,"Same OLD construct as Aug tool, max /2 vs /4. Only exists Aug-Sep 2025."
A_OLD,aug_tool,OLD ( /4) + OLD Achieved,raw/4,oral_language_dev,oral_language,literacy,pct,stack_with_caveat,medium,provisional,Ceiling: 81/81 achieved.
B_Oral Vocabulary,did_baseline,Oral Vocabulary - %age correct,pct,oral_vocabulary,oral_language,literacy,pct,stack,high,provisional,"Q1 2026 Grade 1 battery excluded per Adi, so baseline is the only mean. March has bands only."
B_Listening Comprehension,did_baseline,Listening Comprehension - %age correct,pct,listening_comprehension,oral_language,literacy,pct,stack,high,provisional,Baseline mean only; March bands only.
B_Picture Comprehension,did_baseline,Picture Comprehension - %age correct,pct,picture_comprehension,oral_language,literacy,pct,stack,high,provisional,Baseline mean only; March bands only.
A_LID,aug_tool,Letter identification ( /8),raw/8,letter_recognition,letter_recognition,literacy,pct,stack_with_caveat,medium,provisional,8 items; achieved flag Yes from 4-5/8.
Q3_LMR,q3_2025_tool,Letter/Matra Recognition (/8),raw/8,letter_recognition,letter_recognition,literacy,pct,stack_with_caveat,low,provisional,Adds matras (harder). Provisional stack.
N1_Letter Identification,q1_2026_tool,Letter Identification,"fraction, 20 items",letter_recognition,letter_recognition,literacy,pct,stack,high,confirmed,Absence of scores below 0.55 is genuine per Adi.
N2_Letter Identification,q2_2026_tool,Letter Identification,"fraction, 20 items",letter_recognition,letter_recognition,literacy,pct,stack,high,confirmed,
B_Letter Naming Timed,did_baseline,Letter Naming Timed - CPM,cpm,letter_naming_fluency,letter_recognition,literacy,cpm,stack,high,provisional,Timed CPM; separate series from untimed accuracy.
Q3_WR,q3_2025_tool,Word Reading (/4),raw/4,word_reading,word_reading,literacy,pct,stack_with_caveat,medium,provisional,4 items vs 16 in 2026 tools.
N1_Word Reading,q1_2026_tool,Word Reading,"fraction, 16 items",word_reading,word_reading,literacy,pct,stack,high,provisional,
N2_Word Reading,q2_2026_tool,Word Reading,"fraction, 16 items",word_reading,word_reading,literacy,pct,stack,high,provisional,
B_Word Reading Untimed,did_baseline,Word Reading Untimed - %age correct,pct,word_reading,word_reading,literacy,pct,stack_with_caveat,medium,provisional,Untimed accuracy = Excel construct.
B_Word Reading Timed,did_baseline,Word Reading Timed - CPM,cpm,word_reading_fluency,word_reading,literacy,cpm,stack,high,provisional,
N1_Sentence Reading,q1_2026_tool,Sentence Reading,"fraction, 2 items",sentence_reading,sentence_reading,literacy,pct,stack,high,provisional,3 possible scores (0/50/100).
N2_Sentence Reading,q2_2026_tool,Sentence Reading,"fraction, 2 items",sentence_reading,sentence_reading,literacy,pct,stack,high,provisional,
B_Sentence Reading,did_baseline,Sentence Reading - %age correct,pct,sentence_reading,sentence_reading,literacy,pct,stack_with_caveat,medium,provisional,
J_ORF,july_tool,ORF (/45) raw CPM,cpm,oral_reading_fluency,oral_reading_fluency,literacy,cpm,stack_with_caveat,high,provisional,"""/45"" is the benchmark. Achieved recomputed as >=45 cpm (2 source flags contradicted CPM)."
A_ORF,aug_tool,ORF (/45) / ORF,cpm,oral_reading_fluency,oral_reading_fluency,literacy,cpm,stack_with_caveat,high,provisional,-5 value set to null.
Q3_ORF,q3_2025_tool,ORF.1 (CPM),cpm,oral_reading_fluency,oral_reading_fluency,literacy,cpm,stack_with_caveat,high,provisional,
B_Oral Reading Fluency,did_baseline,Oral Reading Fluency - CPM,cpm,oral_reading_fluency,oral_reading_fluency,literacy,cpm,stack_with_caveat,high,provisional,
M_Oral Reading Fluency,did_midline,Oral Reading Fluency (prose 35 cpm),cpm,oral_reading_fluency,oral_reading_fluency,literacy,cpm,stack_with_caveat,high,provisional,Passages differ by tool; CPM is still the most portable unit.
Q3_RC,q3_2025_tool,RC (/4),raw/4,reading_comprehension,reading_comprehension,literacy,pct,stack_with_caveat,medium,provisional,Q1 2026 Grade 3 battery excluded per Adi.
B_Reading Comprehension,did_baseline,Reading Comprehension - %age correct,pct,reading_comprehension,reading_comprehension,literacy,pct,stack_with_caveat,medium,provisional,March bands only.
B_Letter Writing,did_baseline,Letter Writing - %age correct,pct,letter_writing,writing,literacy,pct,stack,high,provisional,
M_Letter Writing,did_midline,Letter Writing (prose 84%),pct,letter_writing,writing,literacy,pct,stack,high,provisional,
J_WW,july_tool,Word Writing (/2),raw/2,word_writing,writing,literacy,pct,stack_with_caveat,medium,provisional,
A_WR,aug_tool,Writing ( /2),raw/2,word_writing,writing,literacy,pct,stack_with_caveat,low,provisional,"Label is just ""Writing""; July tool labels the same /2 slot ""Word Writing""."
Q3_WW,q3_2025_tool,Word Writing  (/4),raw/4,word_writing,writing,literacy,pct,stack_with_caveat,medium,provisional,
N1_Word Writing,q1_2026_tool,Word Writing,"fraction, 4 items",word_writing,writing,literacy,pct,stack,high,provisional,
N2_Word Writing,q2_2026_tool,Word Writing,"fraction, 4 items",word_writing,writing,literacy,pct,stack,high,provisional,
B_Word Writing,did_baseline,Word Writing - %age correct,pct,word_writing,writing,literacy,pct,stack,high,provisional,
M_Word Writing,did_midline,Word Writing (prose 58%),pct,word_writing,writing,literacy,pct,stack,high,provisional,
M_Sentence Writing,did_midline,Sentence Writing (prose 49%),pct,sentence_writing,writing,literacy,pct,single_source,high,provisional,"Q1 2026 Grade 3 battery excluded, so March only."
M_Independent Writing,did_midline,Independent Writing (prose 34%),pct,independent_writing,writing,literacy,pct,single_source,high,provisional,
Q3_NR,q3_2025_tool,Number Recogniton (/4),raw/4,number_recognition,number_sense,numeracy,pct,stack_with_caveat,medium,provisional,
N1_Number ID,q1_2026_tool,Number ID,"fraction, 12 items",number_recognition,number_sense,numeracy,pct,stack,high,provisional,
N2_Number ID,q2_2026_tool,Number ID,"fraction, 12 items",number_recognition,number_sense,numeracy,pct,stack,high,provisional,
B_Number Identification Untimed,did_baseline,Number Identification Untimed - %age correct,pct,number_recognition,number_sense,numeracy,pct,stack,high,provisional,
